,0,1,2
512,U+1F6CB,couch and lamp,"['couch', 'hotel', 'lamp', 'object']"
513,U+1F6BD,toilet,"['object', 'place', 'toilet', 'travel']"
514,U+1F6BF,shower,"['object', 'place', 'shower', 'travel', 'water']"
515,U+1F6C0,bath,"['bath', 'bathtub', 'object', 'place', 'travel']"
516,U+1F6C1,bathtub,"['bath', 'bathtub', 'object', 'place', 'travel']"
517,U+231B,hourglass,"['hourglass', 'object', 'sand', 'time', 'timer']"
518,U+23F3,hourglass with flowing sand,"['hourglass', 'object', 'sand', 'time', 'timer']"
519,U+231A,watch,"['clock', 'object', 'time', 'watch']"
520,U+23F0,alarm clock,"['alarm', 'clock', 'object', 'time']"
521,U+23F1,stopwatch,"['clock', 'object', 'stopwatch', 'time']"
522,U+23F2,timer clock,"['clock', 'object', 'time', 'timer']"
523,U+1F570,mantelpiece clock,"['clock', 'object']"
524,U+1F55B,clock face twelve oclock,"['00', '12', '12:00', 'clock', 'oclock', 'symbol', 'time', 'twelve']"
525,U+1F567,clock face twelve-thirty,"['12', '12:30', '30', 'clock', 'symbol', 'thirty', 'time', 'twelve']"
526,U+1F550,clock face one oclock,"['00', '1', '1:00', 'clock', 'oclock', 'one', 'symbol', 'time']"
527,U+1F55C,clock face one-thirty,"['1', '1:30', '30', 'clock', 'one', 'symbol', 'thirty', 'time']"
528,U+1F551,clock face two oclock,"['00', '2', '2:00', 'clock', 'oclock', 'symbol', 'time', 'two']"
529,U+1F55D,clock face two-thirty,"['2', '2:30', '30', 'clock', 'symbol', 'thirty', 'time', 'two']"
530,U+1F552,clock face three oclock,"['00', '3', '3:00', 'clock', 'oclock', 'symbol', 'three', 'time']"
531,U+1F55E,clock face three-thirty,"['3', '3:30', '30', 'clock', 'symbol', 'thirty', 'three', 'time']"
532,U+1F553,clock face four oclock,"['00', '4', '4:00', 'clock', 'four', 'oclock', 'symbol', 'time']"
533,U+1F55F,clock face four-thirty,"['30', '4', '4:30', 'clock', 'four', 'symbol', 'thirty', 'time']"
534,U+1F554,clock face five oclock,"['00', '5', '5:00', 'clock', 'five', 'oclock', 'symbol', 'time']"
535,U+1F560,clock face five-thirty,"['30', '5', '5:30', 'clock', 'five', 'symbol', 'thirty', 'time']"
536,U+1F555,clock face six oclock,"['00', '6', '6:00', 'clock', 'oclock', 'six', 'symbol', 'time']"
537,U+1F561,clock face six-thirty,"['30', '6', '6:30', 'clock', 'six', 'symbol', 'thirty', 'time']"
538,U+1F556,clock face seven oclock,"['00', '7', '7:00', 'clock', 'oclock', 'seven', 'symbol', 'time']"
539,U+1F562,clock face seven-thirty,"['30', '7', '7:30', 'clock', 'seven', 'symbol', 'thirty', 'time']"
540,U+1F557,clock face eight oclock,"['00', '8', '8:00', 'clock', 'eight', 'oclock', 'symbol', 'time']"
541,U+1F563,clock face eight-thirty,"['30', '8', '8:30', 'clock', 'eight', 'symbol', 'thirty', 'time']"
542,U+1F558,clock face nine oclock,"['00', '9', '9:00', 'clock', 'nine', 'oclock', 'symbol', 'time']"
543,U+1F564,clock face nine-thirty,"['30', '9', '9:30', 'clock', 'nine', 'symbol', 'thirty', 'time']"
544,U+1F559,clock face ten oclock,"['00', '10', '10:00', 'clock', 'oclock', 'symbol', 'ten', 'time']"
545,U+1F565,clock face ten-thirty,"['10', '10:30', '30', 'clock', 'symbol', 'ten', 'thirty', 'time']"
546,U+1F55A,clock face eleven oclock,"['00', '11', '11:00', 'clock', 'eleven', 'oclock', 'symbol', 'time']"
547,U+1F566,clock face eleven-thirty,"['11', '11:30', '30', 'clock', 'eleven', 'symbol', 'thirty', 'time']"
548,U+1F311,new moon symbol,"['dark', 'moon', 'nature', 'place', 'space', 'time', 'weather']"
549,U+1F312,waxing crescent moon symbol,"['crescent', 'moon', 'nature', 'place', 'space', 'time', 'waxing', 'weather']"
550,U+1F313,first quarter moon symbol,"['moon', 'nature', 'place', 'quarter', 'space', 'time', 'weather']"
551,U+1F314,waxing gibbous moon symbol,"['gibbous', 'moon', 'nature', 'place', 'space', 'time', 'waxing', 'weather']"
552,U+1F315,full moon symbol,"['full', 'moon', 'nature', 'place', 'space', 'time', 'weather']"
553,U+1F316,waning gibbous moon symbol,"['gibbous', 'moon', 'nature', 'place', 'space', 'time', 'waning', 'weather']"
554,U+1F317,last quarter moon symbol,"['moon', 'nature', 'place', 'quarter', 'space', 'time', 'weather']"
555,U+1F318,waning crescent moon symbol,"['crescent', 'moon', 'nature', 'place', 'space', 'time', 'waning', 'weather']"
556,U+1F319,crescent moon,"['crescent', 'moon', 'nature', 'place', 'space', 'time', 'weather']"
557,U+1F31A,new moon with face,"['face', 'moon', 'nature', 'place', 'space', 'time', 'weather']"
558,U+1F31B,first quarter moon with face,"['face', 'moon', 'nature', 'place', 'quarter', 'space', 'weather']"
559,U+1F31C,last quarter moon with face,"['face', 'moon', 'nature', 'place', 'quarter', 'space', 'weather']"
560,U+1F321,thermometer,"['nature', 'thermometer', 'weather']"
561,U+2600,black sun with rays,"['bright', 'nature', 'rays', 'space', 'sun', 'sunny', 'weather']"
562,U+1F31D,full moon with face,"['bright', 'face', 'full', 'moon', 'nature', 'place', 'space', 'weather']"
563,U+1F31E,sun with face,"['bright', 'face', 'nature', 'place', 'space', 'sun', 'weather']"
564,U+2B50,white medium star,"['nature', 'place', 'star']"
565,U+1F31F,glowing star,"['glittery', 'glow', 'object', 'place', 'shining', 'sparkle', 'star']"
566,U+1F320,shooting star,"['activity', 'falling', 'nature', 'place', 'shooting', 'space', 'star']"
567,U+2601,cloud,"['cloud', 'nature', 'weather']"
568,U+26C5,sun behind cloud,"['cloud', 'nature', 'sun', 'weather']"
569,U+26C8,thunder cloud and rain,"['cloud', 'nature', 'rain', 'thunder', 'weather']"
570,U+1F324,white sun with small cloud,"['cloud', 'nature', 'sun', 'weather']"
571,U+1F325,white sun behind cloud,"['cloud', 'nature', 'sun', 'weather']"
572,U+1F326,white sun behind cloud with rain,"['cloud', 'nature', 'rain', 'sun', 'weather']"
573,U+1F327,cloud with rain,"['cloud', 'nature', 'rain', 'weather']"
574,U+1F328,cloud with snow,"['cloud', 'cold', 'nature', 'snow', 'weather']"
575,U+1F329,cloud with lightning,"['cloud', 'lightning', 'nature', 'weather']"
576,U+1F32A,cloud with tornado,"['cloud', 'nature', 'tornado', 'weather']"
577,U+1F32B,fog,"['cloud', 'fog', 'nature', 'weather']"
578,U+1F32C,wind blowing face,"['blow', 'cloud', 'face', 'nature', 'weather', 'wind']"
579,U+1F300,cyclone,"['cyclone', 'dizzy', 'nature', 'twister', 'typhoon', 'weather']"
580,U+1F308,rainbow,"['nature', 'rain', 'rainbow', 'weather']"
581,U+1F302,closed umbrella,"['clothing', 'nature', 'person', 'rain', 'umbrella', 'weather']"
582,U+2602,umbrella,"['clothing', 'nature', 'rain', 'umbrella', 'weather']"
583,U+2614,umbrella with rain drops,"['clothing', 'drop', 'nature', 'rain', 'umbrella', 'weather']"
584,U+26F1,umbrella on ground,"['nature', 'rain', 'sun', 'travel', 'umbrella', 'weather']"
585,U+26A1,high voltage sign,"['danger', 'electric', 'electricity', 'lightning', 'nature', 'symbol', 'voltage', 'zap']"
586,U+2744,snowflake,"['cold', 'nature', 'snow', 'snowflake', 'weather']"
587,U+2603,snowman,"['cold', 'nature', 'snow', 'snowman', 'weather']"
588,U+26C4,snowman without snow,"['cold', 'nature', 'snow', 'snowman', 'weather']"
589,U+2604,comet,"['comet', 'object', 'space']"
590,U+1F525,fire,"['fire', 'flame', 'object', 'tool']"
591,U+1F4A7,droplet,"['cold', 'comic', 'drop', 'emotion', 'nature', 'object', 'person', 'sweat', 'weather']"
592,U+1F30A,water wave,"['nature', 'ocean', 'place', 'water', 'wave', 'weather']"
593,U+1F383,jack-o-lantern,"['activity', 'celebration', 'entertainment', 'halloween', 'jack', 'lantern', 'object']"
594,U+1F384,christmas tree,"['activity', 'celebration', 'christmas', 'entertainment', 'object', 'tree']"
595,U+1F386,fireworks,"['activity', 'celebration', 'entertainment', 'fireworks', 'object']"
596,U+1F387,firework sparkler,"['activity', 'celebration', 'entertainment', 'fireworks', 'object', 'sparkle']"
597,U+2728,sparkles,"['emotion', 'entertainment', 'object', 'sign', 'sparkle', 'star']"
598,U+1F388,balloon,"['activity', 'balloon', 'celebration', 'entertainment', 'object']"
599,U+1F389,party popper,"['activity', 'celebration', 'entertainment', 'object', 'party', 'popper', 'tada']"
600,U+1F38A,confetti ball,"['activity', 'ball', 'celebration', 'confetti', 'entertainment', 'object']"
601,U+1F38B,tanabata tree,"['activity', 'banner', 'celebration', 'entertainment', 'japanese', 'object', 'tree']"
602,U+1F38C,crossed flags,"['activity', 'celebration', 'cross', 'crossed', 'flag', 'japanese', 'object']"
603,U+1F38D,pine decoration,"['activity', 'bamboo', 'celebration', 'japanese', 'object', 'pine', 'plant']"
604,U+1F38E,japanese dolls,"['activity', 'celebration', 'doll', 'entertainment', 'festival', 'japanese', 'object']"
605,U+1F38F,carp streamer,"['activity', 'carp', 'celebration', 'entertainment', 'flag', 'object', 'streamer']"
606,U+1F390,wind chime,"['activity', 'bell', 'celebration', 'chime', 'entertainment', 'object', 'wind']"
607,U+1F391,moon viewing ceremony,"['activity', 'celebration', 'ceremony', 'entertainment', 'moon', 'nature', 'object']"
608,U+1F380,ribbon,"['celebration', 'emotion', 'object', 'person', 'ribbon']"
609,U+1F381,wrapped present,"['box', 'celebration', 'entertainment', 'gift', 'object', 'present', 'wrapped']"
610,U+1F396,military medal,"['celebration', 'medal', 'military', 'object']"
611,U+1F397,reminder ribbon,"['celebration', 'object', 'reminder', 'ribbon']"
612,U+1F39E,film frames,"['cinema', 'entertainment', 'film', 'frames', 'movie', 'object']"
613,U+1F39F,admission tickets,"['admission', 'entertainment', 'object', 'ticket']"
614,U+1F3AB,ticket,"['activity', 'admission', 'entertainment', 'object', 'place', 'ticket']"
615,U+1F3F7,label,"['label', 'object']"
616,U+26BD,soccer ball,"['ball', 'object', 'place', 'soccer', 'sport']"
617,U+26BE,baseball,"['ball', 'baseball', 'object', 'place', 'sport']"
618,U+1F3C0,basketball and hoop,"['ball', 'basketball', 'hoop', 'object', 'place', 'sport']"
619,U+1F3C8,american football,"['american', 'ball', 'football', 'object', 'place', 'sport']"
620,U+1F3C9,rugby football,"['ball', 'football', 'object', 'place', 'rugby', 'sport']"
621,U+1F3BE,tennis racquet and ball,"['ball', 'object', 'place', 'racquet', 'sport', 'tennis']"
622,U+1F3B1,billiards,"['8', '8 ball', 'ball', 'billiard', 'eight', 'game', 'object', 'place', 'sport']"
623,U+1F3B3,bowling,"['ball', 'bowling', 'game', 'object', 'place', 'sport']"
624,U+26F3,flag in hole,"['flag', 'golf', 'hole', 'object', 'place', 'sport', 'travel']"
625,U+1F3CC,golfer,"['ball', 'golf', 'person', 'sport']"
626,U+26F8,ice skate,"['ice', 'place', 'skate', 'sport', 'travel']"
627,U+1F3A3,fishing pole and fish,"['entertainment', 'fish', 'object', 'place', 'pole', 'sport']"
628,U+1F3BD,running shirt with sash,"['person', 'place', 'running', 'sash', 'shirt', 'sport']"
629,U+1F3BF,ski and ski boot,"['object', 'ski', 'snow', 'sport']"
630,U+26F7,skier,"['person', 'ski', 'snow', 'sport', 'travel']"
631,U+1F3C2,snowboarder,"['person', 'ski', 'snow', 'snowboard', 'sport']"
632,U+1F3C4,surfer,"['person', 'sport', 'surfer', 'surfing']"
633,U+1F3C7,horse racing,"['horse', 'jockey', 'person', 'racehorse', 'racing', 'sport', 'travel']"
634,U+1F3CA,swimmer,"['person', 'sport', 'swim', 'swimmer', 'travel']"
635,U+26F9,person with ball,"['ball', 'person', 'sport', 'travel']"
636,U+1F3CB,weight lifter,"['lifter', 'person', 'sport', 'weight']"
637,U+1F6B4,bicyclist,"['bicycle', 'bicyclist', 'bike', 'cyclist', 'person', 'place', 'sport', 'travel']"
638,U+1F6B5,mountain bicyclist,"['bicycle', 'bicyclist', 'bike', 'cyclist', 'mountain', 'person', 'place', 'sport', 'travel']"
639,U+1F3CE,racing car,"['car', 'place', 'racing', 'sport', 'travel']"
640,U+1F3CD,racing motorcycle,"['motorcycle', 'person', 'racing', 'sport', 'travel']"
641,U+1F3C5,sports medal,"['medal', 'object', 'sport']"
642,U+1F3C6,trophy,"['object', 'place', 'prize', 'sport', 'trophy']"
643,U+1F3CF,cricket bat and ball,"['ball', 'bat', 'cricket', 'game', 'object', 'sport']"
644,U+1F3D0,volleyball,"['ball', 'game', 'object', 'sport', 'volleyball']"
645,U+1F3D1,field hockey stick and ball,"['ball', 'field', 'game', 'hockey', 'object', 'sport', 'stick']"
646,U+1F3D2,ice hockey stick and puck,"['game', 'hockey', 'ice', 'object', 'puck', 'sport', 'stick']"
647,U+1F3D3,table tennis paddle and ball,"['ball', 'bat', 'game', 'object', 'paddle', 'sport', 'table tennis']"
648,U+1F3F8,badminton racquet and shuttlecock,"['badminton', 'birdie', 'game', 'object', 'racquet', 'shuttlecock', 'sport']"
649,U+1F3AF,direct hit,"['activity', 'bull', 'bullseye', 'dart', 'entertainment', 'eye', 'game', 'hit', 'object', 'target']"
650,U+1F3AE,video game,"['controller', 'entertainment', 'game', 'object', 'video game']"
651,U+1F579,joystick,"['entertainment', 'game', 'joystick', 'object', 'video game']"
652,U+1F3B2,game die,"['dice', 'die', 'entertainment', 'game', 'object']"
653,U+2660,black spade suit,"['card', 'game', 'spade', 'suit', 'symbol']"
654,U+2665,black heart suit,"['card', 'emotion', 'game', 'heart', 'hearts', 'suit', 'symbol']"
655,U+2666,black diamond suit,"['card', 'diamond', 'diamonds', 'game', 'suit', 'symbol']"
656,U+2663,black club suit,"['card', 'club', 'clubs', 'game', 'suit', 'symbol']"
657,U+1F0CF,playing card black joker,"['card', 'entertainment', 'game', 'joker', 'object', 'playing']"
658,U+1F004,mahjong tile red dragon,"['game', 'mahjong', 'object', 'red']"
659,U+1F3B4,flower playing cards,"['activity', 'card', 'entertainment', 'flower', 'game', 'japanese', 'object', 'playing']"
660,U+1F507,speaker with cancellation stroke,"['mute', 'object', 'quiet', 'silent', 'sound', 'speaker', 'volume']"
661,U+1F508,speaker,"['object', 'sound', 'speaker', 'volume']"
662,U+1F509,speaker with one sound wave,"['low', 'object', 'sound', 'speaker', 'volume', 'wave']"
663,U+1F50A,speaker with three sound waves,"['3', 'entertainment', 'high', 'loud', 'object', 'sound', 'speaker', 'three', 'volume']"
664,U+1F4E2,public address loudspeaker,"['communication', 'loud', 'loudspeaker', 'object', 'public address', 'sound']"
665,U+1F4E3,cheering megaphone,"['cheering', 'communication', 'megaphone', 'object', 'sound']"
666,U+1F4EF,postal horn,"['communication', 'entertainment', 'horn', 'object', 'post', 'postal', 'sound']"
667,U+1F514,bell,"['bell', 'object', 'sound']"
668,U+1F515,bell with cancellation stroke,"['bell', 'forbidden', 'mute', 'no', 'not', 'object', 'prohibited', 'quiet', 'silent', 'sound']"
669,U+1F3BC,musical score,"['activity', 'entertainment', 'music', 'object', 'score', 'sound']"
670,U+1F3B5,musical note,"['activity', 'entertainment', 'music', 'note', 'object', 'sound']"
671,U+1F3B6,multiple musical notes,"['activity', 'entertainment', 'music', 'note', 'notes', 'object', 'sound']"
672,U+1F399,studio microphone,"['mic', 'microphone', 'music', 'object', 'sound', 'studio']"
673,U+1F39A,level slider,"['level', 'music', 'object', 'slider', 'sound']"
674,U+1F39B,control knobs,"['control', 'knobs', 'music', 'object', 'sound']"
675,U+1F3A4,microphone,"['activity', 'entertainment', 'karaoke', 'mic', 'microphone', 'object', 'sound']"
676,U+1F3A7,headphone,"['activity', 'earbud', 'entertainment', 'headphone', 'object', 'sound']"
677,U+1F3B7,saxophone,"['activity', 'entertainment', 'instrument', 'music', 'object', 'sax', 'saxophone', 'sound']"
678,U+1F3B8,guitar,"['activity', 'entertainment', 'guitar', 'instrument', 'music', 'object', 'sound']"
679,U+1F3B9,musical keyboard,"['activity', 'entertainment', 'instrument', 'keyboard', 'music', 'object', 'piano', 'sound']"
680,U+1F3BA,trumpet,"['activity', 'entertainment', 'instrument', 'music', 'object', 'sound', 'trumpet']"
681,U+1F3BB,violin,"['activity', 'entertainment', 'instrument', 'music', 'object', 'sound', 'violin']"
682,U+1F4FB,radio,"['entertainment', 'object', 'radio', 'video']"
683,U+1F4F1,mobile phone,"['cell', 'communication', 'mobile', 'object', 'phone', 'telephone']"
684,U+1F4F2,mobile phone with rightwards arrow at left,"['arrow', 'call', 'cell', 'communication', 'mobile', 'object', 'phone', 'receive', 'telephone']"
685,U+260E,black telephone,"['object', 'office', 'phone', 'sound', 'telephone']"
686,U+1F4DE,telephone receiver,"['communication', 'object', 'phone', 'receiver', 'sound', 'telephone']"
687,U+1F4DF,pager,"['communication', 'object', 'office', 'pager']"
688,U+1F4E0,fax machine,"['communication', 'fax', 'object', 'office']"
689,U+1F50B,battery,"['battery', 'object']"
690,U+1F50C,electric plug,"['electric', 'electricity', 'object', 'plug']"
691,U+1F4BB,personal computer,"['computer', 'object', 'office', 'pc', 'personal']"
692,U+1F5A5,desktop computer,"['computer', 'desktop', 'object', 'office']"
693,U+1F5A8,printer,"['computer', 'object', 'office', 'printer']"
694,U+2328,keyboard,"['computer', 'keyboard', 'object']"
695,U+1F5B1,three button mouse,"['3', 'button', 'computer', 'mouse', 'object', 'office', 'three']"
696,U+1F5B2,trackball,"['computer', 'object', 'office', 'trackball']"
697,U+1F4BD,minidisc,"['computer', 'disk', 'entertainment', 'minidisk', 'object', 'office', 'optical']"
698,U+1F4BE,floppy disk,"['computer', 'disk', 'floppy', 'object', 'office']"
699,U+1F4BF,optical disc,"['blu-ray', 'cd', 'computer', 'disk', 'dvd', 'object', 'office', 'optical']"
700,U+1F4C0,dvd,"['blu-ray', 'cd', 'computer', 'disk', 'dvd', 'entertainment', 'object', 'office', 'optical']"
701,U+1F3A5,movie camera,"['activity', 'camera', 'cinema', 'entertainment', 'movie', 'object']"
702,U+1F3AC,clapper board,"['activity', 'clapper', 'entertainment', 'movie', 'object']"
703,U+1F4FD,film projector,"['cinema', 'entertainment', 'film', 'movie', 'object', 'projector', 'video']"
704,U+1F4FA,television,"['entertainment', 'object', 'television', 'tv', 'video']"
705,U+1F4F7,camera,"['camera', 'entertainment', 'object', 'video']"
706,U+1F4F8,camera with flash,"['camera', 'flash', 'object', 'video']"
707,U+1F4F9,video camera,"['camera', 'entertainment', 'object', 'video']"
708,U+1F4FC,videocassette,"['entertainment', 'object', 'tape', 'vhs', 'video', 'videocassette']"
709,U+1F50D,left-pointing magnifying glass,"['glass', 'magnifying', 'object', 'search', 'tool']"
710,U+1F50E,right-pointing magnifying glass,"['glass', 'magnifying', 'object', 'search', 'tool']"
711,U+1F52C,microscope,"['microscope', 'object', 'tool']"
712,U+1F52D,telescope,"['object', 'telescope', 'tool']"
713,U+1F4E1,satellite antenna,"['antenna', 'communication', 'dish', 'object', 'office', 'satellite']"
714,U+1F56F,candle,"['candle', 'light', 'object']"
715,U+1F4A1,electric light bulb,"['bulb', 'comic', 'electric', 'idea', 'light', 'object']"
716,U+1F526,electric torch,"['electric', 'flashlight', 'light', 'object', 'tool', 'torch']"
717,U+1F3EE,izakaya lantern,"['bar', 'japanese', 'lantern', 'light', 'place', 'red']"
718,U+1F4D4,notebook with decorative cover,"['book', 'cover', 'decorated', 'education', 'notebook', 'object', 'office']"
719,U+1F4D5,closed book,"['book', 'closed', 'education', 'object', 'office']"
720,U+1F4D6,open book,"['book', 'education', 'object', 'office', 'open']"
721,U+1F4D7,green book,"['book', 'education', 'green', 'object', 'office']"
722,U+1F4D8,blue book,"['blue', 'book', 'education', 'object', 'office']"
723,U+1F4D9,orange book,"['book', 'education', 'object', 'office', 'orange']"
724,U+1F4DA,books,"['book', 'books', 'education', 'object', 'office']"
725,U+1F4D3,notebook,"['notebook', 'object', 'office']"
726,U+1F4D2,ledger,"['ledger', 'notebook', 'object', 'office']"
727,U+1F4C3,page with curl,"['curl', 'document', 'object', 'office', 'page']"
728,U+1F4DC,scroll,"['object', 'office', 'paper', 'scroll']"
729,U+1F4C4,page facing up,"['document', 'object', 'office', 'page']"
730,U+1F4F0,newspaper,"['communication', 'news', 'newspaper', 'object', 'paper']"
731,U+1F5DE,rolled-up newspaper,"['news', 'newspaper', 'object', 'paper', 'rolled']"
732,U+1F4D1,bookmark tabs,"['bookmark', 'mark', 'marker', 'object', 'office', 'tabs']"
733,U+1F516,bookmark,"['bookmark', 'mark', 'object']"
734,U+1F4B0,money bag,"['bag', 'dollar', 'money', 'moneybag', 'object', 'office']"
735,U+1F4B4,banknote with yen sign,"['bank', 'banknote', 'bill', 'currency', 'money', 'note', 'object', 'office', 'yen']"
736,U+1F4B5,banknote with dollar sign,"['bank', 'banknote', 'bill', 'currency', 'dollar', 'money', 'note', 'object', 'office']"
737,U+1F4B6,banknote with euro sign,"['bank', 'banknote', 'bill', 'currency', 'euro', 'money', 'note', 'object', 'office']"
738,U+1F4B7,banknote with pound sign,"['bank', 'banknote', 'bill', 'currency', 'money', 'note', 'object', 'office', 'pound']"
739,U+1F4B8,money with wings,"['bank', 'banknote', 'bill', 'dollar', 'fly', 'money', 'note', 'object', 'office', 'wings']"
740,U+1F4B3,credit card,"['bank', 'card', 'credit', 'money', 'object', 'office']"
741,U+1F4B9,chart with upwards trend and yen sign,"['bank', 'chart', 'currency', 'graph', 'growth', 'market', 'money', 'object', 'office', 'rise', 'symbol', 'trend', 'upward', 'yen']"
742,U+2709,envelope,"['e-mail', 'email', 'envelope', 'object', 'office']"
743,U+1F4E7,e-mail symbol,"['communication', 'e-mail', 'email', 'letter', 'mail', 'object', 'office']"
744,U+1F4E8,incoming envelope,"['communication', 'e-mail', 'email', 'envelope', 'incoming', 'letter', 'mail', 'object', 'office', 'receive']"
745,U+1F4E9,envelope with downwards arrow above,"['arrow', 'communication', 'down', 'e-mail', 'email', 'envelope', 'letter', 'mail', 'object', 'office', 'outgoing', 'sent']"
746,U+1F4E4,outbox tray,"['box', 'communication', 'letter', 'mail', 'object', 'office', 'outbox', 'sent', 'tray']"
747,U+1F4E5,inbox tray,"['box', 'communication', 'inbox', 'letter', 'mail', 'object', 'office', 'receive', 'tray']"
748,U+1F4E6,package,"['box', 'communication', 'object', 'office', 'package', 'parcel']"
749,U+1F4EB,closed mailbox with raised flag,"['closed', 'communication', 'flag', 'mail', 'mailbox', 'object', 'office', 'postbox']"
750,U+1F4EA,closed mailbox with lowered flag,"['closed', 'communication', 'flag', 'lowered', 'mail', 'mailbox', 'object', 'office', 'postbox']"
751,U+1F4EC,open mailbox with raised flag,"['communication', 'flag', 'mail', 'mailbox', 'object', 'office', 'open', 'postbox']"
752,U+1F4ED,open mailbox with lowered flag,"['communication', 'flag', 'lowered', 'mail', 'mailbox', 'object', 'office', 'open', 'postbox']"
753,U+1F4EE,postbox,"['communication', 'mail', 'mailbox', 'object', 'office', 'postbox']"
754,U+1F5F3,ballot box with ballot,"['ballot', 'box', 'object']"
755,U+270F,pencil,"['object', 'office', 'pencil']"
756,U+2712,black nib,"['nib', 'object', 'office', 'pen']"
757,U+1F58B,lower left fountain pen,"['communication', 'fountain', 'object', 'office', 'pen']"
758,U+1F58A,lower left ballpoint pen,"['ballpoint', 'communication', 'object', 'office', 'pen']"
759,U+1F58C,lower left paintbrush,"['communication', 'object', 'office', 'paintbrush', 'painting']"
760,U+1F58D,lower left crayon,"['communication', 'crayon', 'object', 'office']"
761,U+1F4DD,memo,"['communication', 'memo', 'object', 'office', 'pencil']"
762,U+1F4BC,briefcase,"['briefcase', 'object', 'office', 'person']"
763,U+1F4C1,file folder,"['file', 'folder', 'object', 'office']"
764,U+1F4C2,open file folder,"['file', 'folder', 'object', 'office', 'open']"
765,U+1F5C2,card index dividers,"['card', 'dividers', 'index', 'object', 'office']"
766,U+1F4C5,calendar,"['calendar', 'date', 'object', 'office']"
767,U+1F4C6,tear-off calendar,"['calendar', 'object', 'office']"
768,U+1F5D2,spiral note pad,"['note', 'object', 'office', 'pad', 'spiral']"
769,U+1F5D3,spiral calendar pad,"['calendar', 'object', 'office', 'pad', 'spiral']"
770,U+1F4C7,card index,"['card', 'index', 'object', 'office', 'rolodex']"
771,U+1F4C8,chart with upwards trend,"['chart', 'graph', 'growth', 'object', 'office', 'trend', 'upward']"
772,U+1F4C9,chart with downwards trend,"['chart', 'down', 'graph', 'object', 'office', 'trend']"
773,U+1F4CA,bar chart,"['bar', 'chart', 'graph', 'object', 'office']"
774,U+1F4CB,clipboard,"['clipboard', 'object', 'office']"
775,U+1F4CC,pushpin,"['object', 'office', 'pin', 'pushpin']"
776,U+1F4CD,round pushpin,"['object', 'office', 'pin', 'place', 'pushpin']"
777,U+1F4CE,paperclip,"['object', 'office', 'paperclip']"
778,U+1F587,linked paperclips,"['communication', 'link', 'object', 'office', 'paperclip']"
779,U+1F4CF,straight ruler,"['object', 'office', 'ruler', 'straight edge']"
780,U+1F4D0,triangular ruler,"['object', 'office', 'ruler', 'set', 'triangle']"
781,U+2702,black scissors,"['object', 'office', 'scissors', 'tool']"
782,U+1F5C3,card file box,"['box', 'card', 'file', 'object', 'office']"
783,U+1F5C4,file cabinet,"['cabinet', 'file', 'object', 'office']"
784,U+1F5D1,wastebasket,"['object', 'office', 'wastebasket']"
785,U+1F512,lock,"['closed', 'lock', 'object']"
786,U+1F513,open lock,"['lock', 'object', 'open', 'unlock']"
787,U+1F50F,lock with ink pen,"['ink', 'lock', 'nib', 'object', 'pen', 'privacy']"
788,U+1F510,closed lock with key,"['closed', 'key', 'lock', 'object', 'secure']"
789,U+1F511,key,"['key', 'lock', 'object', 'password']"
790,U+1F5DD,old key,"['clue', 'key', 'lock', 'object', 'old']"
791,U+1F528,hammer,"['hammer', 'object', 'tool']"
792,U+26CF,pick,"['mining', 'object', 'pick', 'tool']"
793,U+2692,hammer and pick,"['hammer', 'object', 'pick', 'tool']"
794,U+1F6E0,hammer and wrench,"['hammer', 'object', 'tool', 'wrench']"
795,U+1F527,wrench,"['object', 'tool', 'wrench']"
796,U+1F529,nut and bolt,"['bolt', 'nut', 'object', 'tool']"
797,U+2699,gear,"['gear', 'object', 'tool']"
798,U+1F5DC,compression,"['compression', 'object', 'tool', 'vice']"
799,U+2697,alembic,"['alembic', 'chemistry', 'object', 'tool']"
800,U+2696,scales,"['balance', 'justice', 'libra', 'object', 'scales', 'tool', 'weight', 'zodiac']"
801,U+1F517,link symbol,"['link', 'object', 'symbol']"
802,U+26D3,chains,"['chain', 'object']"
803,U+1F489,syringe,"['doctor', 'medicine', 'needle', 'object', 'shot', 'sick', 'syringe', 'tool']"
804,U+1F48A,pill,"['doctor', 'medicine', 'object', 'pill', 'sick']"
805,U+1F5E1,dagger knife,"['dagger', 'knife', 'object', 'weapon']"
806,U+1F52A,hocho,"['cooking', 'hocho', 'knife', 'object', 'tool', 'weapon']"
807,U+2694,crossed swords,"['crossed', 'object', 'swords', 'weapon']"
808,U+1F52B,pistol,"['gun', 'object', 'pistol', 'revolver', 'tool', 'weapon']"
809,U+1F6E1,shield,"['object', 'shield', 'weapon']"
810,U+1F3F9,bow and arrow,"['archer', 'arrow', 'bow', 'object', 'sagittarius', 'sport', 'tool', 'weapon', 'zodiac']"
811,U+1F3C1,chequered flag,"['checkered', 'chequered', 'flag', 'object', 'place', 'racing', 'sport']"
812,U+1F3F3,waving white flag,"['flag', 'object', 'waving']"
813,U+1F3F4,waving black flag,"['flag', 'object', 'waving']"
814,U+1F6A9,triangular flag on post,"['flag', 'object', 'place', 'post', 'travel']"
815,U+1F6AC,smoking symbol,"['activity', 'object', 'smoking']"
816,U+26B0,coffin,"['coffin', 'death', 'object']"
817,U+26B1,funeral urn,"['death', 'funeral', 'object', 'urn']"
