,annotations,byteCode,descriptions
905,"['exclamation', 'mark', 'outlined', 'punctuation', 'symbol', 'word']",\U00002755,white exclamation mark ornament
906,"['exclamation', 'mark', 'punctuation', 'symbol', 'word']",\U00002757,heavy exclamation mark symbol
907,"['dash', 'punctuation', 'sound', 'symbol', 'wavy']",\U00003030,wavy dash
908,"['copyright', 'symbol', 'word']",\U000000A9,copyright sign
909,"['registered', 'symbol', 'word']",\U000000AE,registered sign
910,"['mark', 'symbol', 'tm', 'trademark', 'word']",\U00002122,trade mark sign
911,"['aries', 'ram', 'symbol', 'time', 'zodiac']",\U00002648,aries
912,"['bull', 'ox', 'symbol', 'taurus', 'time', 'zodiac']",\U00002649,taurus
913,"['gemini', 'symbol', 'time', 'twins', 'zodiac']",\U0000264A,gemini
914,"['cancer', 'crab', 'symbol', 'time', 'zodiac']",\U0000264B,cancer
915,"['leo', 'lion', 'symbol', 'time', 'zodiac']",\U0000264C,leo
916,"['maiden', 'symbol', 'time', 'virgin', 'virgo', 'zodiac']",\U0000264D,virgo
917,"['balance', 'justice', 'libra', 'scales', 'symbol', 'time', 'zodiac']",\U0000264E,libra
918,"['scorpio', 'scorpion', 'scorpius', 'symbol', 'time', 'zodiac']",\U0000264F,scorpius
919,"['archer', 'sagittarius', 'symbol', 'time', 'zodiac']",\U00002650,sagittarius
920,"['capricorn', 'goat', 'symbol', 'time', 'zodiac']",\U00002651,capricorn
921,"['aquarius', 'bearer', 'symbol', 'time', 'water', 'zodiac']",\U00002652,aquarius
922,"['fish', 'pisces', 'symbol', 'time', 'zodiac']",\U00002653,pisces
923,"['bearer', 'ophiuchus', 'serpent', 'snake', 'symbol', 'zodiac']",\U000026CE,ophiuchus
924,"['arrow', 'crossed', 'symbol']",\U0001F500,twisted rightwards arrows
925,"['arrow', 'clockwise', 'repeat', 'symbol']",\U0001F501,clockwise rightwards and leftwards open circle arrows
926,"['arrow', 'clockwise', 'once', 'symbol']",\U0001F502,clockwise rightwards and leftwards open circle arrows with circled one overlay
927,"['arrow', 'play', 'right', 'sound', 'symbol', 'triangle']",\U000025B6,black right-pointing triangle
928,"['arrow', 'double', 'fast', 'forward', 'sound', 'symbol']",\U000023E9,black right-pointing double triangle
929,"['arrow', 'next scene', 'next track', 'sound', 'symbol', 'triangle']",\U000023ED,black right-pointing double triangle with vertical bar
930,"['arrow', 'pause', 'play', 'right', 'sound', 'symbol', 'triangle']",\U000023EF,black right-pointing triangle with double vertical bar
931,"['arrow', 'left', 'reverse', 'sound', 'symbol', 'triangle']",\U000025C0,black left-pointing triangle
932,"['arrow', 'double', 'rewind', 'sound', 'symbol']",\U000023EA,black left-pointing double triangle
933,"['arrow', 'previous scene', 'previous track', 'sound', 'symbol', 'triangle']",\U000023EE,black left-pointing double triangle with vertical bar
934,"['arrow', 'button', 'red', 'symbol']",\U0001F53C,up-pointing small red triangle
935,"['arrow', 'double', 'sound', 'symbol']",\U000023EB,black up-pointing double triangle
936,"['arrow', 'button', 'down', 'red', 'symbol']",\U0001F53D,down-pointing small red triangle
937,"['arrow', 'double', 'down', 'sound', 'symbol']",\U000023EC,black down-pointing double triangle
938,"['bar', 'double', 'pause', 'sound', 'symbol', 'vertical']",\U000023F8,double vertical bar
939,"['sound', 'square', 'stop', 'symbol']",\U000023F9,black square for stop
940,"['circle', 'record', 'sound', 'symbol']",\U000023FA,black circle for record
941,"['eject', 'sound', 'symbol']",\U000023CF,eject symbol
942,"['activity', 'camera', 'cinema', 'entertainment', 'film', 'movie', 'object', 'symbol']",\U0001F3A6,cinema
943,"['brightness', 'dim', 'low', 'sign', 'symbol']",\U0001F505,low brightness symbol
944,"['bright', 'brightness', 'sign', 'symbol']",\U0001F506,high brightness symbol
945,"['antenna', 'bar', 'cell', 'communication', 'mobile', 'object', 'phone', 'signal', 'symbol', 'telephone']",\U0001F4F6,antenna with bars
946,"['cell', 'communication', 'forbidden', 'mobile', 'no', 'not', 'object', 'phone', 'prohibited', 'symbol', 'telephone']",\U0001F4F5,no mobile phones
947,"['cell', 'communication', 'mobile', 'mode', 'object', 'phone', 'symbol', 'telephone', 'vibration']",\U0001F4F3,vibration mode
948,"['cell', 'communication', 'mobile', 'object', 'off', 'phone', 'symbol', 'telephone']",\U0001F4F4,mobile phone off
949,"['hash', 'keycap', 'pound', 'symbol', 'word']",\U00000023\U000020E3,keycap number sign
950,"['asterisk', 'keycap', 'star', 'symbol']",\U0000002A\U000020E3,keycap asterisk
